datetime,open,high,low,close,volume,avg_price
2023-07-25 15:00:00,88.88,88.88,88.88,88.88,25652.75,88.88
2023-07-25 16:00:00,90.12,90.12,90.12,90.12,26224.5,90.12
2023-07-25 17:00:00,92.71,92.71,92.71,92.71,30510.75,92.71
2023-07-25 18:00:00,112.01,112.01,112.01,112.01,34234.0,112.01
2023-07-25 19:00:00,122.98,122.98,122.98,122.98,37488.25,122.98
2023-07-25 20:00:00,119.04,119.04,119.04,119.04,39201.5,119.04
2023-07-25 21:00:00,116.55,116.55,116.55,116.55,38852.25,116.55
2023-07-25 22:00:00,109.35,109.35,109.35,109.35,35707.5,109.35
2023-07-25 23:00:00,98.5,98.5,98.5,98.5,31393.75,98.5
2023-07-26 00:00:00,97.96,97.96,97.96,97.96,27944.5,97.96
2023-07-26 01:00:00,89.31,89.31,89.31,89.31,25835.75,89.31
2023-07-26 02:00:00,86.26,86.26,86.26,86.26,25039.25,86.26
2023-07-26 03:00:00,79.65,79.65,79.65,79.65,25745.0,79.65
2023-07-26 04:00:00,79.64,79.64,79.64,79.64,27093.75,79.64
2023-07-26 05:00:00,86.83,86.83,86.83,86.83,29778.75,86.83
2023-07-26 06:00:00,101.77,101.77,101.77,101.77,35542.25,101.77
2023-07-26 07:00:00,114.9,114.9,114.9,114.9,38633.0,114.9
2023-07-26 08:00:00,120.75,120.75,120.75,120.75,37887.0,120.75
2023-07-26 09:00:00,103.85,103.85,103.85,103.85,33488.25,103.85
2023-07-26 10:00:00,95.68,95.68,95.68,95.68,27867.0,95.68
2023-07-26 11:00:00,89.52,89.52,89.52,89.52,23187.75,89.52
2023-07-26 12:00:00,86.04,86.04,86.04,86.04,20629.5,86.04
2023-07-26 13:00:00,78.63,78.63,78.63,78.63,18662.25,78.63
2023-07-26 14:00:00,74.67,74.67,74.67,74.67,17231.25,74.67
2023-07-26 15:00:00,69.43,69.43,69.43,69.43,18142.25,69.43
2023-07-26 16:00:00,80.82,80.82,80.82,80.82,19534.75,80.82
2023-07-26 17:00:00,88.97,88.97,88.97,88.97,24720.75,88.97
2023-07-26 18:00:00,100.06,100.06,100.06,100.06,31707.0,100.06
2023-07-26 19:00:00,115.22,115.22,115.22,115.22,38722.0,115.22
2023-07-26 20:00:00,120.58,120.58,120.58,120.58,41175.0,120.58
2023-07-26 21:00:00,118.04,118.04,118.04,118.04,40284.25,118.04
2023-07-26 22:00:00,110.23,110.23,110.23,110.23,36421.25,110.23
2023-07-26 23:00:00,97.06,97.06,97.06,97.06,31304.75,97.06
2023-07-27 00:00:00,98.36,98.36,98.36,98.36,27737.0,98.36
2023-07-27 01:00:00,82.69,82.69,82.69,82.69,25087.5,82.69
2023-07-27 02:00:00,76.0,76.0,76.0,76.0,24253.5,76.0
2023-07-27 03:00:00,71.06,71.06,71.06,71.06,24356.5,71.06
2023-07-27 04:00:00,72.0,72.0,72.0,72.0,25688.25,72.0
2023-07-27 05:00:00,80.48,80.48,80.48,80.48,29101.75,80.48
2023-07-27 06:00:00,96.9,96.9,96.9,96.9,33629.75,96.9
2023-07-27 07:00:00,103.58,103.58,103.58,103.58,36399.5,103.58
2023-07-27 08:00:00,104.3,104.3,104.3,104.3,37057.75,104.3
2023-07-27 09:00:00,99.12,99.12,99.12,99.12,36051.5,99.12
2023-07-27 10:00:00,96.8,96.8,96.8,96.8,35279.75,96.8
2023-07-27 11:00:00,90.9,90.9,90.9,90.9,34390.25,90.9
2023-07-27 12:00:00,86.45,86.45,86.45,86.45,32330.5,86.45
2023-07-27 13:00:00,80.01,80.01,80.01,80.01,30901.0,80.01
2023-07-27 14:00:00,78.33,78.33,78.33,78.33,30666.25,78.33
2023-07-27 15:00:00,81.35,81.35,81.35,81.35,31317.0,81.35
2023-07-27 16:00:00,93.89,93.89,93.89,93.89,32138.5,93.89
2023-07-27 17:00:00,107.26,107.26,107.26,107.26,34853.5,107.26
2023-07-27 18:00:00,114.91,114.91,114.91,114.91,37408.5,114.91
2023-07-27 19:00:00,116.95,116.95,116.95,116.95,38181.5,116.95
2023-07-27 20:00:00,109.97,109.97,109.97,109.97,36772.0,109.97
2023-07-27 21:00:00,108.12,108.12,108.12,108.12,35314.75,108.12
2023-07-27 22:00:00,105.56,105.56,105.56,105.56,32651.25,105.56
2023-07-27 23:00:00,98.88,98.88,98.88,98.88,29090.0,98.88
2023-07-28 00:00:00,88.63,88.63,88.63,88.63,27144.5,88.63
2023-07-28 01:00:00,79.59,79.59,79.59,79.59,26437.75,79.59
2023-07-28 02:00:00,78.13,78.13,78.13,78.13,26209.25,78.13
2023-07-28 03:00:00,79.2,79.2,79.2,79.2,26719.0,79.2
2023-07-28 04:00:00,80.02,80.02,80.02,80.02,27642.5,80.02
2023-07-28 05:00:00,89.53,89.53,89.53,89.53,30541.5,89.53
2023-07-28 06:00:00,100.09,100.09,100.09,100.09,35193.25,100.09
2023-07-28 07:00:00,111.12,111.12,111.12,111.12,38392.25,111.12
2023-07-28 08:00:00,112.99,112.99,112.99,112.99,39255.75,112.99
2023-07-28 09:00:00,107.87,107.87,107.87,107.87,36751.75,107.87
2023-07-28 10:00:00,99.54,99.54,99.54,99.54,33987.0,99.54
2023-07-28 11:00:00,93.0,93.0,93.0,93.0,31751.75,93.0
2023-07-28 12:00:00,85.9,85.9,85.9,85.9,28941.0,85.9
2023-07-28 13:00:00,80.0,80.0,80.0,80.0,26342.25,80.0
2023-07-28 14:00:00,75.65,75.65,75.65,75.65,25114.75,75.65
2023-07-28 15:00:00,76.1,76.1,76.1,76.1,25552.75,76.1
2023-07-28 16:00:00,80.0,80.0,80.0,80.0,28088.0,80.0
2023-07-28 17:00:00,94.27,94.27,94.27,94.27,34388.5,94.27
2023-07-28 18:00:00,103.59,103.59,103.59,103.59,40100.0,103.59
2023-07-28 19:00:00,122.44,122.44,122.44,122.44,43708.75,122.44
2023-07-28 20:00:00,130.0,130.0,130.0,130.0,44730.75,130.0
2023-07-28 21:00:00,121.78,121.78,121.78,121.78,43693.75,121.78
2023-07-28 22:00:00,111.09,111.09,111.09,111.09,41763.0,111.09
2023-07-28 23:00:00,101.53,101.53,101.53,101.53,37931.0,101.53
2023-07-29 00:00:00,103.09,103.09,103.09,103.09,34995.0,103.09
2023-07-29 01:00:00,94.48,94.48,94.48,94.48,32043.25,94.48
2023-07-29 02:00:00,91.17,91.17,91.17,91.17,30129.75,91.17
2023-07-29 03:00:00,85.66,85.66,85.66,85.66,28838.0,85.66
2023-07-29 04:00:00,88.97,88.97,88.97,88.97,28663.25,88.97
2023-07-29 05:00:00,87.03,87.03,87.03,87.03,28846.5,87.03
2023-07-29 06:00:00,85.7,85.7,85.7,85.7,29017.0,85.7
2023-07-29 07:00:00,87.91,87.91,87.91,87.91,29282.5,87.91
2023-07-29 08:00:00,85.79,85.79,85.79,85.79,29488.75,85.79
2023-07-29 09:00:00,81.71,81.71,81.71,81.71,27359.75,81.71
2023-07-29 10:00:00,75.5,75.5,75.5,75.5,23061.75,75.5
2023-07-29 11:00:00,63.75,63.75,63.75,63.75,17975.0,63.75
2023-07-29 12:00:00,58.66,58.66,58.66,58.66,12248.25,58.66
2023-07-29 13:00:00,40.48,40.48,40.48,40.48,8924.5,40.48
2023-07-29 14:00:00,18.2,18.2,18.2,18.2,5775.5,18.2
2023-07-29 15:00:00,19.67,19.67,19.67,19.67,7917.0,19.67
2023-07-29 16:00:00,49.18,49.18,49.18,49.18,11821.0,49.18
2023-07-29 17:00:00,58.66,58.66,58.66,58.66,15693.5,58.66
2023-07-29 18:00:00,79.54,79.54,79.54,79.54,23294.0,79.54
2023-07-29 19:00:00,92.28,92.28,92.28,92.28,31191.5,92.28
2023-07-29 20:00:00,99.93,99.93,99.93,99.93,34095.75,99.93
2023-07-29 21:00:00,100.74,100.74,100.74,100.74,33847.0,100.74
2023-07-29 22:00:00,99.93,99.93,99.93,99.93,32752.25,99.93
2023-07-29 23:00:00,92.18,92.18,92.18,92.18,30245.75,92.18
2023-07-30 00:00:00,84.5,84.5,84.5,84.5,27185.5,84.5
2023-07-30 01:00:00,74.9,74.9,74.9,74.9,24990.75,74.9
2023-07-30 02:00:00,67.81,67.81,67.81,67.81,23113.75,67.81
2023-07-30 03:00:00,57.79,57.79,57.79,57.79,22107.0,57.79
2023-07-30 04:00:00,51.6,51.6,51.6,51.6,21692.75,51.6
2023-07-30 05:00:00,51.7,51.7,51.7,51.7,21334.0,51.7
2023-07-30 06:00:00,47.34,47.34,47.34,47.34,21046.75,47.34
2023-07-30 07:00:00,37.0,37.0,37.0,37.0,20487.75,37.0
2023-07-30 08:00:00,29.82,29.82,29.82,29.82,17310.0,29.82
2023-07-30 09:00:00,8.48,8.48,8.48,8.48,13304.0,8.48
2023-07-30 10:00:00,-0.01,-0.01,-0.01,-0.01,9110.25,-0.01
2023-07-30 11:00:00,-0.26,-0.26,-0.26,-0.26,5292.25,-0.26
2023-07-30 12:00:00,-16.69,-16.69,-16.69,-16.69,3586.75,-16.69
2023-07-30 13:00:00,-44.93,-44.93,-44.93,-44.93,4625.5,-44.93
2023-07-30 14:00:00,-46.61,-46.61,-46.61,-46.61,1368.0,-46.61
2023-07-30 15:00:00,-40.02,-40.02,-40.02,-40.02,98.5,-40.02
2023-07-30 16:00:00,-19.94,-19.94,-19.94,-19.94,-1746.5,-19.94
2023-07-30 17:00:00,-1.0,-1.0,-1.0,-1.0,2052.0,-1.0
2023-07-30 18:00:00,16.22,16.22,16.22,16.22,8842.75,16.22
2023-07-30 19:00:00,74.37,74.37,74.37,74.37,16991.75,74.37
2023-07-30 20:00:00,84.47,84.47,84.47,84.47,21244.5,84.47
2023-07-30 21:00:00,88.46,88.46,88.46,88.46,20845.25,88.46
2023-07-30 22:00:00,87.06,87.06,87.06,87.06,20116.0,87.06
2023-07-30 23:00:00,70.05,70.05,70.05,70.05,18754.0,70.05
2023-07-31 00:00:00,61.03,61.03,61.03,61.03,17323.5,61.03
2023-07-31 01:00:00,50.51,50.51,50.51,50.51,15261.0,50.51
2023-07-31 02:00:00,44.09,44.09,44.09,44.09,14871.5,44.09
2023-07-31 03:00:00,30.3,30.3,30.3,30.3,14459.25,30.3
2023-07-31 04:00:00,28.91,28.91,28.91,28.91,15559.75,28.91
2023-07-31 05:00:00,50.31,50.31,50.31,50.31,19430.5,50.31
2023-07-31 06:00:00,78.18,78.18,78.18,78.18,24023.5,78.18
2023-07-31 07:00:00,86.58,86.58,86.58,86.58,27471.75,86.58
2023-07-31 08:00:00,88.16,88.16,88.16,88.16,28365.5,88.16
2023-07-31 09:00:00,86.0,86.0,86.0,86.0,25964.25,86.0
2023-07-31 10:00:00,74.16,74.16,74.16,74.16,22105.0,74.16
2023-07-31 11:00:00,67.49,67.49,67.49,67.49,18633.0,67.49
2023-07-31 12:00:00,65.18,65.18,65.18,65.18,16541.25,65.18
2023-07-31 13:00:00,59.65,59.65,59.65,59.65,15466.5,59.65
2023-07-31 14:00:00,59.14,59.14,59.14,59.14,14649.25,59.14
2023-07-31 15:00:00,59.94,59.94,59.94,59.94,15311.5,59.94
